tweet,answer,author,handle,url,date,is_retweet,num_comments,num_retweets,num_favorites
WIshing everyone a happy healthy and prosperous New Year!,real,Donald J. Trump,realDonaldTrump,,1293774121000,false,0,144,42
Wishing everyone a very Happy Holiday season!,real,Donald J. Trump,realDonaldTrump,,1293150378000,false,0,109,55
Don't forget to watch Larry King tonight CNN at 9 pm.  He's a television legend and a great friend. It's going to be a fantastic farewell.,real,Donald J. Trump,realDonaldTrump,,1292538623000,false,0,112,20
Those five hotels includeTrump International Hotel & Tower New York Trump Soho New York Trump International Hotel & Tower Chicago...,real,Donald J. Trump,realDonaldTrump,,1292287147000,false,0,14,6
"All the hotels currently open in the Trump Hotel Collection have been nominated for Travel & Leisure's ""World's Best Awards 2011"" .....,12-13-2010 16:30:47,24,8,false,14356570783617025",real,Donald J. Trump,realDonaldTrump,,1594024597641,,0,,
Congratulations to Brandy as our new Apprentice and to Clint for being a great player. It's been a terrific season!,real,Donald J. Trump,realDonaldTrump,,1292020935000,false,0,44,12
Tonight is the Apprentice finale---and it's a fantastic episode in every way with the great Liza Minnelli performing and a new Apprentice!,real,Donald J. Trump,realDonaldTrump,,1291953723000,false,0,55,7
Tonight's episode of The Apprentice is one of the best ever--we're down to the final 3 and it's high excitement all the way. 10 pm on NBC.,real,Donald J. Trump,realDonaldTrump,,1291332769000,false,0,24,3
Congratulations to Evan Lysacek for being nominated SI sportsman of the year. He's a great guy and he has my vote!  #EvanForSI,real,Donald J. Trump,realDonaldTrump,,1291074766000,false,0,31,4
My best wishes to everyone for a Happy Thanksgiving!,real,Donald J. Trump,realDonaldTrump,,1290652892000,false,0,69,15
Tomorrow night's episode of The Apprentice delivers excitement at QVC along with appearances by Isaac Mizrahi and Cathie Black. 10 pm on NBC,real,Donald J. Trump,realDonaldTrump,,1290648054000,false,0,32,12
Watch CNN tomorrow at 2 pm & 5 pm and on Friday at 7 pm & 11 pm for a Thanksgiving Special hosted by John King. I'll be a featured guest.,real,Donald J. Trump,realDonaldTrump,,1290642803000,false,0,19,6
Staff Sgt. Salvatore A. Giunta received the Medal of Honor from Pres. Obama this month. It was a great honor to have him visit me today.,real,Donald J. Trump,realDonaldTrump,,1290475343000,false,0,26,10
I was on The View this morning. We talked about The Apprentice. Tonight's episode is a great one--tough exciting and surprising. 10 pm/NBC,real,Donald J. Trump,realDonaldTrump,,1288317220000,false,0,35,5
Be prepared for a sensational episode of The Apprentice tomorrow night 10 pm on NBC.,real,Donald J. Trump,realDonaldTrump,,1288210452000,false,0,27,2
Don't forget to tune in tonight to see another unpredictable and exciting episode of The Apprentice-- 10 pm on NBC,real,Donald J. Trump,realDonaldTrump,,1287704305000,false,0,31,2
I'm honored to be presented the award of Doctor of Business Administration Honoris Causa from Robert Gordon University in Aberdeen Scotland,real,Donald J. Trump,realDonaldTrump,,1286397623000,false,0,31,7
Tune in tonight at 10 pm on NBC for another exciting episode of The Apprentice -- and see the Dog Whisperer make an appearance.,real,Donald J. Trump,realDonaldTrump,,1285884641000,false,0,100,119
Don't forget to tune in tonight for the two hour premiere of The Apprentice. 9 pm EST on NBC. We're all in for a fantastic new season!,real,Donald J. Trump,realDonaldTrump,,1284675936000,false,0,51,9
"I am very happy to have the civilian version of ""The Apprentice"" back on the air this fall. There will be excitement as well as opportunity.,09-14-2010 20:52:07,47,14,false,24508012246",real,Donald J. Trump,realDonaldTrump,,1594024597646,,0,,
I'll be on The Late Show with David Letterman tonight--be sure to tune in for a great show. 11:30 pm on CBS.,real,Donald J. Trump,realDonaldTrump,,1283402318000,false,0,46,5
Went to the Yankees game last night with Bill O'Reilly--we had a great time watching the Yankees win!,real,Donald J. Trump,realDonaldTrump,,1283310003000,false,0,44,26
Spent a beautiful weekend golfing at Trump National Golf Club Westchester and Trump National Golf Club Bedminster.,real,Donald J. Trump,realDonaldTrump,,1283223043000,false,0,17,8
The Miss Universe Pageant raked in some great ratings!  A great job by everyone.,real,Donald J. Trump,realDonaldTrump,,1282880577000,false,0,39,12
Congratulations to Miss Mexico Jimena Navarrete our new Miss Universe 2010 and congratulations to everyone for a fantastic show.,real,Donald J. Trump,realDonaldTrump,,1282684032000,false,0,193,32
The original Apprentice returns with a two hour premiere on Thursday September 16th. Looking forward to a fantastic season!,real,Donald J. Trump,realDonaldTrump,,1282268142000,false,0,56,9
Performing live on the Miss Universe Pageant from the Mandalay Bay Resort & Casino will be Telemundo Orianthi John Legend and The Roots.,real,Donald J. Trump,realDonaldTrump,,1280956760000,false,0,24,6
I'm proud to accept the 2010 HollyRod Foundation Humanitarian Award from Holly Robinson Peete who raised $700000 on Celebrity Apprentice,real,Donald J. Trump,realDonaldTrump,,1279663828000,false,0,74,12
George Steinbrenner was a great friend and a true legend. There will never be anyone like him in New York. We've lost a truly great man.,real,Donald J. Trump,realDonaldTrump,,1279150108000,false,0,78,12
The new edition of The Apprentice will be on Thursdays this fall at 10 pm ET---I'm putting people back to work!,real,Donald J. Trump,realDonaldTrump,,1278453134000,false,0,39,5
Due to popular demand CNN will re-broadcast  the Larry King Live show I hosted in June in which I interview Larry. Monday July 5 9 pm CNN,real,Donald J. Trump,realDonaldTrump,,1278109637000,false,0,22,8
Wishing everyone a wonderful Independence Day weekend. We have a lot to be thankful for.,real,Donald J. Trump,realDonaldTrump,,1278103267000,false,0,26,5
"Tune in tonight at 9 pm on TV One for ""The Ultimate Merger"" starring the one and only Omarosa and twelve brave bachelors ...,06-17-2010 14:36:38,19,15,false,16393424310",real,Donald J. Trump,realDonaldTrump,,1594024597652,,0,,
Had a fantastic dinner last night at Quattro in the Trump SoHo Hotel. It's already one of the hottest new restaurants in the city.,real,Donald J. Trump,realDonaldTrump,,1276634960000,false,0,11,3
I am honored to be chosen by Gray Line for their NY Ride of Fame Campaign. Today we had the ribbon cutting ceremony in front of Trump Tower.,real,Donald J. Trump,realDonaldTrump,,1276048519000,false,0,8,4
Tonight I trade places with Larry King @kingsthings and interview him on the 25th anniversary of his show. 9PM on CNN featuring best clips.,real,Donald J. Trump,realDonaldTrump,,1275806022000,false,0,25,4
I'll be turning the table on Larry King this Saturday night.  I'll be interviewing him in honor of the 25th Anniversary of his show.,real,Donald J. Trump,realDonaldTrump,,1275536269000,false,0,24,8
Wishing everyone a Happy Memorial Day Weekend with a special thought for all the veterans who have done so much for our freedom.,real,Donald J. Trump,realDonaldTrump,,1275089080000,false,0,37,6
The Dunes here are amazing and  they're how I learned about geomorphology which is the study of movement landforms. We've had a great trip,real,Donald J. Trump,realDonaldTrump,,1275006271000,false,0,10,1
The North Coast of Scotland is spectacular--the sea the sand dunes the rolling bluffs--we walked the course and it is fantastic.,real,Donald J. Trump,realDonaldTrump,,1274929198000,false,0,12,3
Scotland is beautiful. I spent several years looking for the right place visiting over 200 sites and this is absolutely the right place!,real,Donald J. Trump,realDonaldTrump,,1274907097000,false,0,18,4
The ratings for the Celebrity Apprentice were fantastic and everyone had a great time. It was a terrific season -- congrats to everyone!,real,Donald J. Trump,realDonaldTrump,,1274826667000,false,0,9,5
Congratulations to Bret Michaels the new Celebrity Apprentice. Bret's a true champion all of us were happy to see him and to see him win!,real,Donald J. Trump,realDonaldTrump,,1274738601000,false,0,45,9
The latest update on Bret Michaels is that he's making every effort to attend the live finale of Celebrity Apprentice on Sunday--so tune in!,real,Donald J. Trump,realDonaldTrump,,1274397760000,false,0,15,3
Check out Ivanka's new FaceBook page and keep up with what's happening--from The Celebrity Apprentice to jewlery to free tickets and more..,real,Donald J. Trump,realDonaldTrump,,1274391239000,false,0,12,1
Congratulations to our new Miss USA  the beautiful Rima Fakih.  Rima will represent us well at Miss Universe and be a wonderful Miss USA .,real,Donald J. Trump,realDonaldTrump,,1274140119000,false,0,117,188
We're all very happy to hear of Bret Michael's progress and send our best wishes for his full recovery.,real,Donald J. Trump,realDonaldTrump,,1273114644000,false,0,36,7
Providing backstage commentary at the Miss USA Pageant will be comedic mother-daughter duo Joan and Melissa Rivers. A fantastic lineup!,real,Donald J. Trump,realDonaldTrump,,1272930207000,false,0,6,4
Also appearing on the Miss USA Pageant will be Country Superstar Trace Adkins and Pop Rock Sensation Boys Like Girls...,real,Donald J. Trump,realDonaldTrump,,1272929911000,false,0,8,10
Be sure to look for my beautiful wife Melania Trump tonight on QVC at 9 pm ET where she will be debuting her fantastic jewelry collection.,real,Donald J. Trump,realDonaldTrump,,1272668012000,false,0,14,2
Our thoughts and prayers remain with Bret Michaels and his family and for his speedy recovery.,real,Donald J. Trump,realDonaldTrump,,1272315493000,false,0,59,11
Melania and I saw American Idiot on Broadway last night and it was great. An amazing  theatrical experience!,real,Donald J. Trump,realDonaldTrump,,1271886212000,false,0,3257,4559
On Sunday Jerome Bettis 'the bus' from the Pittsburgh Steelers will play at Trump Int'l Golf Club/Palm Beach against Julius Erving 'Dr J',real,Donald J. Trump,realDonaldTrump,,1271458506000,false,0,8,3
"""Before Kids Can Go Places They Need a Place To Go"" -- the motto of The Police Athletic League an organization I'm  very proud to support,04-14-2010 20:49:24,20,4,false,12183298109",real,Donald J. Trump,realDonaldTrump,,1594024597654,,0,,
Looking forward to seeing the World Champion Yankees today on opening day!,real,Donald J. Trump,realDonaldTrump,,1271191755000,false,0,49,22
This is a terrific day for downtown New York. Trump SoHo is unlike anything else. Be sure to visit this fantastic hotel soon!,real,Donald J. Trump,realDonaldTrump,,1270856196000,false,0,10,5
My bestselling book from last April Think Like a Champion is now available in paperback. It's inspiring entertaining and a great read.,real,Donald J. Trump,realDonaldTrump,,1270602499000,false,0,13,2
