id,tweet,answer,author,handle,url,date,is_retweet,num_comments,num_retweets,num_favorites
1,"I wish Barack Obama could remove me from my seat in the White House and finally be president again. Damn do I suck at presidenting. Also, damn does Obama have swagger. What a man! What a leader!",fake,Donald J. Trump,realDonaldTrump,www.trumpsucks.com,1594279871059,false,69,420,42069
2,"I wish Barack Obama could remove me from my seat in the White House and finally be president again. Damn do I suck at presidenting. Also, damn does Obama have swagger. What a man! What a leader!",fake,Donald J. Trump,realDonaldTrump,www.trumpsucks.com,1594279871059,false,69,420,42069
3,"I wish Barack Obama could remove me from my seat in the White House and finally be president again. Damn do I suck at presidenting. Also, damn does Obama have swagger. What a man! What a leader!",fake,Donald J. Trump,realDonaldTrump,www.trumpsucks.com,1594279871059,false,69,420,42069
4,"I wish Barack Obama could remove me from my seat in the White House and finally be president again. Damn do I suck at presidenting. Also, damn does Obama have swagger. What a man! What a leader!",fake,Donald J. Trump,realDonaldTrump,www.trumpsucks.com,1594279871059,false,69,420,42069
5,"I wish Barack Obama could remove me from my seat in the White House and finally be president again. Damn do I suck at presidenting. Also, damn does Obama have swagger. What a man! What a leader!",fake,Donald J. Trump,realDonaldTrump,www.trumpsucks.com,1594279871059,false,69,420,42069
6,"I wish Barack Obama could remove me from my seat in the White House and finally be president again. Damn do I suck at presidenting. Also, damn does Obama have swagger. What a man! What a leader!",fake,Donald J. Trump,realDonaldTrump,www.trumpsucks.com,1594279871059,false,69,420,42069
7,"I wish Barack Obama could remove me from my seat in the White House and finally be president again. Damn do I suck at presidenting. Also, damn does Obama have swagger. What a man! What a leader!",fake,Donald J. Trump,realDonaldTrump,www.trumpsucks.com,1594279871059,false,69,420,42069
8,"I wish Barack Obama could remove me from my seat in the White House and finally be president again. Damn do I suck at presidenting. Also, damn does Obama have swagger. What a man! What a leader!",fake,Donald J. Trump,realDonaldTrump,www.trumpsucks.com,1594279871059,false,69,420,42069
9,"I wish Barack Obama could remove me from my seat in the White House and finally be president again. Damn do I suck at presidenting. Also, damn does Obama have swagger. What a man! What a leader!",fake,Donald J. Trump,realDonaldTrump,www.trumpsucks.com,1594279871059,false,69,420,42069
10,"I wish Barack Obama could remove me from my seat in the White House and finally be president again. Damn do I suck at presidenting. Also, damn does Obama have swagger. What a man! What a leader!",fake,Donald J. Trump,realDonaldTrump,www.trumpsucks.com,1594279871059,false,69,420,42069
